Humidity(kg/kg),Ndvi,Soil Moisture(kg/m^2),Temperatur(k)
0.011250211,4913.295,57.31244457,311.27329
0.008913387,4358.205,23.13226882,317.4414377
0.010115276,4707.235,25.28054224,317.7205829
0.009909722,4463.045,25.15346973,316.0210219
0.01064306,5292.015,35.72237,314.5042311
